datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-23 11:20:00;148335;148350;148400;148265;176276;53781;Venda
2025-10-23 11:25:00;148350;148305;148470;148285;188495;52891;Venda
2025-10-23 11:30:00;148305;148320;148435;148240;199790;58252;Venda
2025-10-23 11:35:00;148320;148295;148400;148250;138826;39217;Venda
2025-10-23 11:40:00;148295;148270;148340;148190;204334;55958;Venda
2025-10-23 11:45:00;148265;148470;148485;148255;230683;61526;Venda
2025-10-23 11:50:00;148470;148450;148560;148390;184413;54166;Venda
2025-10-23 11:55:00;148455;148330;148465;148300;113901;32587;Venda
2025-10-24 09:00:00;148545;148790;148970;148450;407021;143715;Venda
2025-10-24 09:05:00;148790;148785;148945;148605;283423;98203;Venda
2025-10-24 09:10:00;148785;148745;148835;148650;193306;68960;Venda
2025-10-24 09:15:00;148750;148955;149020;148745;243776;85117;Venda
2025-10-24 09:20:00;148960;148935;149015;148835;161732;57216;Venda
2025-10-24 09:25:00;148930;148935;149050;148715;201078;77125;Venda
2025-10-24 09:30:00;148945;149445;149770;148935;531244;178049;Venda
2025-10-24 09:35:00;149450;149575;149620;149415;232088;76490;Venda
2025-10-24 09:40:00;149580;149570;149715;149550;227365;69294;Venda
2025-10-24 09:45:00;149565;149620;149665;149510;172248;56554;Venda
2025-10-24 09:50:00;149615;149735;149845;149610;248841;75565;Venda
2025-10-24 09:55:00;149730;149530;149795;149440;262349;80824;Venda
2025-10-24 10:00:00;149525;149625;149650;149355;324616;102020;Venda
2025-10-24 10:05:00;149620;149610;149785;149565;245323;83300;Venda
2025-10-24 10:10:00;149610;149900;149920;149515;291759;93018;Venda
2025-10-24 10:15:00;149905;149850;149980;149765;283980;88498;Venda
2025-10-24 10:20:00;149850;149630;149870;149610;223998;69359;Venda
2025-10-24 10:25:00;149630;149895;149915;149565;252664;78889;Venda
2025-10-24 10:30:00;149900;149875;150045;149850;402885;120813;Venda
2025-10-24 10:35:00;149880;150025;150095;149790;321709;97787;Venda
2025-10-24 10:40:00;150020;149640;150055;149610;266174;76069;Venda
2025-10-24 10:45:00;149640;149550;149705;149455;273877;82099;Venda
2025-10-24 10:50:00;149550;149420;149625;149410;268966;81008;Venda
2025-10-24 10:55:00;149420;149395;149480;149320;210012;62616;Venda
2025-10-24 11:00:00;149400;149205;149420;149070;329873;89944;Venda
2025-10-24 11:05:00;149200;149110;149225;149050;217951;59321;Venda
2025-10-24 11:10:00;149105;149040;149145;148945;222232;62573;Venda
2025-10-24 11:15:00;149035;149070;149085;148910;214421;60928;Venda
2025-10-24 11:20:00;149065;149010;149270;148980;290298;82872;Venda
2025-10-24 11:25:00;149015;149010;149130;148935;211055;56391;Venda
2025-10-24 11:30:00;149015;149165;149205;148980;175951;49738;Venda
2025-10-24 11:35:00;149165;149020;149170;149015;122871;36571;Venda
2025-10-24 11:40:00;149020;149070;149130;148980;129163;36145;Venda
2025-10-24 11:45:00;149075;149030;149145;148995;108743;30627;Venda
2025-10-24 11:50:00;149030;148910;149105;148875;186436;53564;Venda
2025-10-24 11:55:00;148910;148940;148985;148885;121692;32352;Venda
2025-10-27 09:00:00;150075;150360;150420;150000;382439;141045;Lateral
2025-10-27 09:05:00;150355;150205;150365;150115;230331;75602;Lateral
2025-10-27 09:10:00;150200;150225;150360;150175;197353;67112;Lateral
2025-10-27 09:15:00;150220;150265;150275;150160;119855;42570;Lateral
2025-10-27 09:20:00;150270;150230;150325;150210;111471;39581;Lateral
2025-10-27 09:25:00;150230;150185;150245;150160;76580;27243;Lateral
2025-10-27 09:30:00;150185;150020;150195;150010;196113;67326;Lateral
